,mean_mir146a,mean_mir146b,mean_mir155,mean_mir203,mean_mir223,mean_mir381p,AGE,plaque_index,gingival_index,pocket_depth,bleeding_on_probing,number_of_missing_teeth
mean_mir146a,1.0,0.9910507133644595,0.9886769929818717,0.9889090960614919,0.9854015530481907,0.9810718781421596,-0.5266314205266588,-0.7078700144962994,-0.6670405259124454,-0.7877187704125989,-0.7619828726260085,-0.21766809718111665
mean_mir146b,0.9910507133644595,1.0,0.9901058912250179,0.9872725652111498,0.981580029765869,0.9799574888916706,-0.5250044459088002,-0.7237989263803757,-0.6900362891965132,-0.7923318190992334,-0.782991206145766,-0.24604843576667407
mean_mir155,0.9886769929818717,0.9901058912250179,1.0,0.9846640209320063,0.9810263192553056,0.9800254725146088,-0.5230274253868176,-0.7042434873572819,-0.6715063997953142,-0.790586750427343,-0.775631220823874,-0.24560425241675612
mean_mir203,0.9889090960614919,0.9872725652111498,0.9846640209320063,1.0,0.9891688889713955,0.9861661498921207,-0.5459359503983343,-0.7036044588126934,-0.6595628704915415,-0.7959344461744746,-0.7588434431057234,-0.2238317711864737
mean_mir223,0.9854015530481907,0.981580029765869,0.9810263192553056,0.9891688889713955,1.0,0.9862143931407111,-0.5507309869967788,-0.710886568693432,-0.6633855794885737,-0.7867228607257957,-0.7670752394578422,-0.22963504118349584
mean_mir381p,0.9810718781421596,0.9799574888916706,0.9800254725146088,0.9861661498921207,0.9862143931407111,1.0,-0.538017979294273,-0.712418220605357,-0.667028177089969,-0.787119468137649,-0.7599137186098073,-0.2545240883834582
AGE,-0.5266314205266588,-0.5250044459088002,-0.5230274253868176,-0.5459359503983343,-0.5507309869967788,-0.538017979294273,1.0,0.40634698395969954,0.448122326180706,0.6117150442055406,0.5693298282056847,0.2527001724667739
plaque_index,-0.7078700144962994,-0.7237989263803757,-0.7042434873572819,-0.7036044588126934,-0.710886568693432,-0.712418220605357,0.40634698395969954,1.0,0.8756867641924319,0.7339124550612539,0.8478063024575194,0.24479785095129325
gingival_index,-0.6670405259124454,-0.6900362891965132,-0.6715063997953142,-0.6595628704915415,-0.6633855794885737,-0.667028177089969,0.448122326180706,0.8756867641924319,1.0,0.7294943876927129,0.8832108270883063,0.22875263065114598
pocket_depth,-0.7877187704125989,-0.7923318190992334,-0.790586750427343,-0.7959344461744746,-0.7867228607257957,-0.787119468137649,0.6117150442055406,0.7339124550612539,0.7294943876927129,1.0,0.8090970240222338,0.3703748953872685
bleeding_on_probing,-0.7619828726260085,-0.782991206145766,-0.775631220823874,-0.7588434431057234,-0.7670752394578422,-0.7599137186098073,0.5693298282056847,0.8478063024575194,0.8832108270883063,0.8090970240222338,1.0,0.2689017072233145
number_of_missing_teeth,-0.21766809718111665,-0.24604843576667407,-0.24560425241675612,-0.2238317711864737,-0.22963504118349584,-0.2545240883834582,0.2527001724667739,0.24479785095129325,0.22875263065114598,0.3703748953872685,0.2689017072233145,1.0
